M1\M2;TC = 0.03 s;SEN = 3 V;3;4;5
0.0;3.0;3.25;3.5;3.75;4.0
-0.2;0.0399;0.0396;0.0393;0.0402;0.0396
-0.19;0.0402;0.0402;0.0402;0.0402;0.0396
-0.18000000000000002;0.0402;0.0402;0.0402;0.0396;0.0402
-0.17;0.0396;0.0396;0.0402;0.0393;0.0402
-0.16;0.0393;0.0396;0.0402;0.0402;0.0396
-0.15000000000000002;0.0399;0.0402;0.0399;0.0399;0.0399
-0.14;0.039;0.0402;0.0399;0.0402;0.0399
-0.13;0.0396;0.0399;0.0399;0.0402;0.0399
-0.12000000000000001;0.0393;0.0399;0.0399;0.0405;0.0399
-0.11000000000000001;0.0396;0.0399;0.0402;0.0399;0.0399
-0.1;0.0396;0.0399;0.0396;0.0399;0.0396
-0.09000000000000001;0.0396;0.0399;0.0396;0.0396;0.0396
-0.08000000000000002;0.0393;0.0396;0.0396;0.0396;0.0399
-0.07;0.0396;0.0393;0.0393;0.0396;0.0396
-0.06;0.0393;0.0396;0.0393;0.0396;0.0396
-0.05000000000000002;0.039;0.039;0.0399;0.0396;0.0393
-0.04000000000000001;0.0393;0.0393;0.0393;0.0393;0.039
-0.03;0.039;0.0393;0.039;0.0396;0.0393
-0.020000000000000018;0.039;0.0393;0.039;0.0396;0.039
-0.010000000000000009;0.039;0.0387;0.039;0.0387;0.039
0.0;0.0387;0.039;0.0387;0.039;0.039
0.009999999999999981;0.0387;0.0387;0.0384;0.0387;0.0384
0.01999999999999999;0.0384;0.0384;0.039;0.0387;0.0384
0.03;0.0381;0.0387;0.0387;0.0384;0.0378
0.03999999999999998;0.0381;0.0381;0.0381;0.0381;0.0375
0.04999999999999999;0.0384;0.0384;0.0378;0.0375;0.0369
0.06;0.0384;0.0378;0.0375;0.0369;0.036
0.07;0.0378;0.0375;0.0369;0.036;0.0342
0.08000000000000002;0.0372;0.0372;0.0363;0.0348;0.0327
0.08999999999999997;0.0366;0.0363;0.0354;0.0336;0.0315
0.09999999999999998;0.036;0.0354;0.0336;0.0315;0.0288
0.10999999999999999;0.0339;0.0324;0.0309;0.0285;0.0258
0.12;0.0309;0.0291;0.027;0.0246;0.0219
0.13;0.0261;0.0246;0.0219;0.0195;0.0177
0.14;0.0207;0.0189;0.0162;0.0147;0.0135
0.15000000000000002;0.0159;0.0135;0.0117;0.0108;0.0099
0.15999999999999998;0.0111;0.009;0.0081;0.0075;0.0075
0.16999999999999998;0.0072;0.0063;0.0057;0.0057;0.0063
0.18;0.0051;0.0048;0.0042;0.0048;0.0045
0.19;0.0042;0.0036;0.0036;0.0036;0.0042
0.2;0.0033;0.0033;0.0033;0.0036;0.0036
0.21000000000000002;0.003;0.003;0.0027;0.0024;0.003
0.21999999999999997;0.003;0.0024;0.0027;0.0021;0.0027
0.22999999999999998;0.0024;0.0024;0.0024;0.0021;0.0021
0.24;0.0021;0.0021;0.0021;0.0018;0.0021
0.25;0.0018;0.0015;0.0015;0.0015;0.0018
0.26;0.0021;0.0015;0.0018;0.0015;0.0015
0.27;0.0015;0.0012;0.0015;0.0015;0.0012
0.27999999999999997;0.0018;0.0015;0.0012;0.0012;0.0012
0.29;0.0012;0.0012;0.0012;0.0009;0.0012
0.3;0.0012;0.0012;0.0012;0.0006;0.0009
0.31;0.0012;0.0015;0.0012;0.0009;0.0012
0.32;0.0012;0.0009;0.0009;0.0012;0.0012
0.33;0.0009;0.0009;0.0012;0.0009;0.0009
0.34;0.0009;0.0009;0.0009;0.0009;0.0009
0.35000000000000003;0.0009;0.0009;0.0006;0.0006;0.0006
0.36000000000000004;0.0009;0.0012;0.0006;0.0006;0.0006
0.37000000000000005;0.0009;0.0009;0.0006;0.0012;0.0006
0.37999999999999995;0.0009;0.0006;0.0006;0.0009;0.0009
0.38999999999999996;0.0009;0.0006;0.0006;0.0006;0.0006
0.39999999999999997;0.0006;0.0012;0.0006;0.0009;0.0009
0.41;0.0006;0.0006;0.0006;0.0006;0.0006
0.42;0.0006;0.0006;0.0009;0.0009;0.0006
0.43;0.0006;0.0009;0.0006;0.0003;0.0003
0.44;0.0006;0.0006;0.0006;0.0006;0.0006
0.45;0.0006;0.0006;0.0006;0.0006;0.0003
0.46;0.0009;0.0003;0.0003;0.0009;0.0006
0.47000000000000003;0.0006;0.0006;0.0009;0.0009;0.0006
0.48000000000000004;0.0006;0.0006;0.0006;0.0009;0.0009
0.49000000000000005;0.0009;0.0009;0.0009;0.0006;0.0006
0.5;0.0009;0.0003;0.0009;0.0006;0.0009
0.51;0.0006;0.0006;0.0009;0.0009;0.0009
0.52;0.0003;0.0006;0.0003;0.0003;0.0003
0.53;0.0003;0.0009;0.0003;0.0009;0.0006
0.54;0.0006;0.0003;0.0009;0.0006;0.0006
0.55;0.0009;0.0009;0.0006;0.0009;0.0009
0.56;0.0006;0.0006;0.0009;0.0009;0.0003
0.5700000000000001;0.0006;0.0006;0.0006;0.0006;0.0006
0.5800000000000001;0.0006;0.0006;0.0006;0.0009;0.0006
0.5900000000000001;0.0003;0.0006;0.0003;0.0009;0.0006
0.6;0.0009;0.0006;0.0006;0.0009;0.0006
