M1\M2;TC = 0.01 s;SEN = 0.1 V;3
0.0;4.5;5.0;5.5
0.65;0.02833;0.02837;0.02833
0.66;0.02833;0.0283;0.028340000000000004
0.67;0.028319999999999998;0.02843;0.028319999999999998
0.68;0.02835;0.02841;0.0283
0.6900000000000001;0.028319999999999998;0.02841;0.02835
0.7000000000000001;0.028340000000000004;0.028390000000000002;0.028340000000000004
0.71;0.028319999999999998;0.028419999999999997;0.028290000000000003
0.72;0.02835;0.028390000000000002;0.028340000000000004
0.73;0.028360000000000003;0.02843;0.028319999999999998
0.74;0.02837;0.028390000000000002;0.028360000000000003
0.75;0.028390000000000002;0.028419999999999997;0.028340000000000004
0.76;0.0284;0.028419999999999997;0.028440000000000003
0.77;0.02837;0.02843;0.02833
0.78;0.02841;0.028460000000000003;0.02835
0.79;0.028440000000000003;0.02841;0.028340000000000004
0.8;0.0284;0.028380000000000002;0.028290000000000003
0.81;0.02843;0.028390000000000002;0.02833
0.8200000000000001;0.028419999999999997;0.028419999999999997;0.028310000000000002
0.8300000000000001;0.02841;0.0284;0.02833
0.8400000000000001;0.028419999999999997;0.028440000000000003;0.02833
0.8500000000000001;0.028460000000000003;0.028419999999999997;0.028319999999999998
0.86;0.02837;0.028390000000000002;0.028290000000000003
0.87;0.028360000000000003;0.028340000000000004;0.02823
0.88;0.02835;0.02833;0.028240000000000005
0.89;0.02841;0.028310000000000002;0.0282
0.9;0.02837;0.02833;0.02816
0.91;0.028440000000000003;0.028310000000000002;0.02815
0.92;0.028460000000000003;0.028340000000000004;0.0281
0.93;0.02851;0.0283;0.0281
0.94;0.028540000000000003;0.02833;0.028040000000000002
0.95;0.0286;0.028290000000000003;0.027880000000000002
0.96;0.028490000000000005;0.028310000000000002;0.027719999999999998
0.97;0.02845;0.028210000000000002;0.027530000000000002
0.98;0.028340000000000004;0.0281;0.0272
0.99;0.02817;0.02787;0.02677
1.0;0.02756;0.02735;0.026180000000000002
1.01;0.026430000000000002;0.02645;0.02519
1.02;0.02423;0.02469;0.02363
1.03;0.02101;0.021720000000000003;0.021330000000000002
1.04;0.01693;0.017740000000000002;0.0181
1.05;0.0126;0.013430000000000001;0.014520000000000002
1.06;0.00834;0.00912;0.0108
1.07;0.005240000000000001;0.00577;0.007640000000000001
1.08;0.0031200000000000004;0.0034100000000000003;0.00542
1.09;0.00206;0.00228;0.004030000000000001
1.1;0.00148;0.0016;0.003
1.11;0.00124;0.0013700000000000001;0.00245
1.12;0.00105;0.0012;0.0019700000000000004
1.13;0.00093;0.00101;0.00161
1.1400000000000001;0.00074;0.0007800000000000001;0.0012900000000000001
1.15;0.0006900000000000001;0.0006900000000000001;0.00102
1.1600000000000001;0.00057;0.00062;0.0009
1.17;0.00049;0.00051;0.00076
1.1800000000000002;0.00049;0.0005200000000000001;0.00067
1.19;0.0004;0.00045;0.0006
1.2000000000000002;0.00038;0.00047000000000000004;0.00055
1.21;0.00034;0.00042;0.00049
1.2200000000000002;0.00033000000000000005;0.00037;0.00047000000000000004
1.23;0.00037;0.00037;0.00044
1.24;0.00037;0.00032;0.00042
1.25;0.00034;0.00028000000000000003;0.00043
1.26;0.00024000000000000003;0.00033000000000000005;0.00039000000000000005
1.27;0.00023000000000000003;0.0003;0.0004
1.28;0.00024000000000000003;0.00026000000000000003;0.00036
1.29;0.00019;0.0002;0.00036
1.3;0.00024000000000000003;0.00025;0.00035
1.31;0.00019;0.00026000000000000003;0.00029000000000000006
1.32;0.0002;0.00017;0.00024000000000000003
1.33;0.00014000000000000001;0.00021;0.00023000000000000003
1.34;0.00016;0.00016;0.00024000000000000003
1.35;0.00014000000000000001;0.00013000000000000002;0.00023000000000000003
1.3599999999999999;0.00011;0.0001;0.00024000000000000003
1.37;0.00015;0.00018;0.00017
1.38;0.00013000000000000002;0.00011;0.00018
1.3900000000000001;0.00018;0.00015;0.00014000000000000001
1.4;0.0001;0.0001;0.00016
1.4100000000000001;0.00013000000000000002;0.00015;0.00014000000000000001
1.42;0.00013000000000000002;0.00013000000000000002;0.00012000000000000002
1.4300000000000002;9e-05;0.00012000000000000002;0.00015
1.44;4e-05;0.0001;0.00013000000000000002
1.4500000000000002;0.00011;6.000000000000001e-05;9e-05
1.46;8e-05;7.000000000000001e-05;0.00016
1.4700000000000002;0.00011;0.0001;0.00011
1.48;0.00011;0.00013000000000000002;0.00012000000000000002
1.49;0.00011;7.000000000000001e-05;9e-05
1.5;5e-05;9e-05;0.00011
