M1\M2;TC = 0.03 s;SEN = 3 V;3;4;5;6;7
0.0;-9.0;-8.5;-8.0;-7.5;-7.0;-6.5;-6.0
0.3;0.0399;0.0396;0.0399;0.0396;0.0402;0.0402;0.0396
0.35;0.0402;0.0408;0.0396;0.0393;0.0399;0.0396;0.0402
0.39999999999999997;0.0399;0.0405;0.0396;0.0399;0.0396;0.0396;0.0399
0.44999999999999996;0.0405;0.0402;0.0402;0.0402;0.0402;0.0396;0.0393
0.5;0.0396;0.0405;0.0402;0.0396;0.0399;0.039;0.0381
0.5499999999999999;0.0345;0.0366;0.0387;0.0396;0.039;0.0375;0.0354
0.6;0.0267;0.0294;0.0324;0.0336;0.033;0.0303;0.0276
0.6499999999999999;0.0132;0.0108;0.0084;0.0072;0.0075;0.0105;0.0135
0.7;0.0051;0.0027;0.0015;0.0015;0.0018;0.0036;0.0051
0.75;0.0015;0.0009;0.0009;0.0006;0.0006;0.0015;0.0021
0.7999999999999999;0.0003;0.0003;0.0003;0.0006;0.0006;0.0006;0.0012
0.8499999999999999;0.0009;0.0009;0.0003;0.0009;0.0003;0.0006;0.0009
0.8999999999999999;0.0009;0.0009;0.0;0.0009;0.0003;0.0006;0.0009
0.95;0.0009;0.0;0.0003;0.0003;0.0003;0.0;0.0003
1.0;0.0009;0.0006;0.0009;0.0009;0.0003;0.0003;0.0003
