M1\M2;TC = 0.01 s;SEN Auto;3;4;5
0.0;2.5;3.75;5.0;6.25;7.5
0.25;0.02675;0.025470000000000003;0.02545;0.025490000000000002;0.02536
0.26;0.02635;0.025480000000000003;0.025460000000000003;0.025460000000000003;0.02537
0.27;0.02607;0.025480000000000003;0.02552;0.025580000000000002;0.025220000000000003
0.28;0.026019999999999998;0.02545;0.02554;0.02551;0.025210000000000003
0.29;0.02592;0.025460000000000003;0.02552;0.025490000000000002;0.02518
0.3;0.02605;0.02552;0.02563;0.0255;0.02505
0.31;0.02611;0.025560000000000003;0.02555;0.02555;0.024630000000000003
0.32;0.0263;0.025490000000000002;0.0256;0.02543;0.024477000000000002
0.33;0.02646;0.02559;0.02561;0.02539;0.024174
0.33999999999999997;0.026540000000000005;0.02555;0.02561;0.0253;0.023988
0.35;0.0265;0.02565;0.02559;0.02508;0.023615999999999998
0.36;0.02625;0.025790000000000004;0.02559;0.024756;0.023244
0.37;0.026080000000000002;0.026040000000000004;0.02545;0.024585;0.022854
0.38;0.025740000000000002;0.026369999999999998;0.025470000000000003;0.024342000000000003;0.022359
0.39;0.025240000000000002;0.02671;0.02535;0.024081;0.021903
0.4;0.024564000000000002;0.027040000000000005;0.0252;0.023703000000000002;0.021339
0.41000000000000003;0.023865;0.02715;0.0251;0.023370000000000002;0.020652
0.42000000000000004;0.02301;0.027030000000000002;0.024735;0.022824;0.019932
0.43;0.021927000000000002;0.02663;0.02457;0.022296;0.018981
0.44;0.0207;0.025940000000000005;0.024435;0.021309;0.018068999999999998
0.45;0.019491;0.024495000000000003;0.024159;0.020214000000000003;0.016869
0.45999999999999996;0.018231;0.022596;0.023556;0.018777000000000002;0.01563
0.47;0.016956;0.020319;0.022401;0.016956;0.014268000000000001
0.48;0.015806999999999998;0.017397;0.020220000000000002;0.015087;0.012909
0.49;0.014505;0.014430000000000002;0.017085;0.013257;0.011601
0.5;0.013341;0.011598;0.013284;0.011322;0.010376999999999999
0.51;0.012003;0.009174;0.009447;0.009528;0.009177
0.52;0.010797;0.007228;0.005988;0.007812;0.008145
0.53;0.009564;0.005797;0.003447;0.006359;0.0073030000000000005
0.54;0.008388;0.004554;0.0020535;0.005139;0.006445
0.55;0.007346000000000001;0.003676;0.0013578;0.004185;0.005782
0.56;0.006244;0.002938;0.0010737;0.003453;0.005093
0.5700000000000001;0.005363000000000001;0.0023499;0.0009651;0.002878;0.004555
0.5800000000000001;0.004499;0.0018432000000000001;0.0008208;0.0023715;0.004044
0.5900000000000001;0.0037410000000000004;0.001524;0.0007079;0.0018978;0.003597
0.6000000000000001;0.00318;0.0012381;0.0006027000000000001;0.0015276;0.0032
0.61;0.0026190000000000002;0.0009789;0.0004927;0.0012396;0.002915
0.62;0.0021717;0.0008784000000000001;0.0004932000000000001;0.0009258000000000001;0.002582
0.63;0.0019008;0.0007740000000000001;0.0003839;0.0008415000000000001;0.0023205
0.64;0.0016080000000000003;0.000659;0.0003537;0.0006994;0.0021138000000000003
0.65;0.0013134;0.0005323999999999999;0.00032490000000000004;0.0006086;0.0018828
0.66;0.0011109;0.0005208;0.0003015;0.0005187999999999999;0.001623
0.6699999999999999;0.0009702;0.000456;0.0003157;0.00047000000000000004;0.0014286
0.6799999999999999;0.0008259000000000001;0.0004082;0.0003197;0.00047599999999999997;0.0012612
0.69;0.0007509;0.00043380000000000003;0.00026997;0.0004016;0.001101
0.7;0.0006615;0.0003359;0.00030711;0.00042830000000000006;0.0009641999999999999
0.71;0.0005344999999999999;0.000363;0.00034251;0.00038500000000000003;0.0009309000000000001
0.72;0.000491;0.0003109;0.00019512000000000002;0.0004116;0.0008145
0.73;0.00040090000000000004;0.0003321;0.00018801;0.00035420000000000004;0.0007301
0.74;0.0004291;0.0002984;0.00025110000000000003;0.00032690000000000003;0.0006703999999999999
0.75;0.0003229;0.0002974;0.00025247999999999997;0.00033200000000000005;0.0005841
