M1\M2;TC = 0.03 s;SEN Auto;3;4
0.0;6.0;6.666666666666667;7.333333333333333;8.0
0.4;0.011085000000000001;0.011592;0.012012;0.011955
0.45;0.011217;0.011568;0.012201;0.012006000000000001
0.5;0.008610000000000001;0.006867;0.004757;0.003421
0.55;0.004477;0.0029289999999999997;0.0017388000000000002;0.001131
0.6000000000000001;0.0019280999999999999;0.0011352;0.0007662;0.0006278000000000001
0.65;0.0007716;0.0005724;0.0004662;0.0004312
0.7000000000000001;0.00046130000000000005;0.0003633;0.0002876;0.0003189
0.75;0.0003167;0.00024161999999999998;0.00024783;0.00021075
0.8;0.00021621000000000002;0.00018318000000000002;0.00014658;0.00016218000000000002
